order_id,order_date,customer_name,product_name,product_category,quantity,,unit_price
100626,1/1/2021,Customer_1154,Laptop,Electronics,4,,24813
100817,1/1/2021,Customer_565,Chair,Electronics,8,,7775
102564,1/1/2021,Customer_1132,Monitor,Furniture,4,,12633
102720,1/1/2021,Customer_401,Monitor,Furniture,2,,47834
102958,1/1/2021,Customer_619,Table,Office Supplies,9,,27869
100162,2/1/2021,Customer_891,Table,Furniture,1,,12521
100208,2/1/2021,Customer_649,Pen,Office Supplies,6,,12002
101505,2/1/2021,Customer_1126,Mobile,Office Supplies,2,,17405
101608,2/1/2021,Customer_676,Chair,Furniture,5,,30358
101794,2/1/2021,Customer_430,Printer,Office Supplies,6,,907
101254,3/1/2021,Customer_758,Pen,Office Supplies,8,,16351
101300,3/1/2021,Customer_1186,Pen,Electronics,9,,5183
103224,3/1/2021,Customer_196,Table,Furniture,3,,17623
103857,3/1/2021,Customer_700,Pen,Electronics,8,,1946
100796,4/1/2021,Customer_304,Printer,Office Supplies,3,,19538
101090,4/1/2021,Customer_772,Monitor,Electronics,2,,22225
104732,4/1/2021,Customer_170,Printer,Furniture,2,,37385
100343,5/1/2021,Customer_870,Mobile,Furniture,5,,40890
100851,5/1/2021,Customer_963,Laptop,Office Supplies,7,,14666
103208,5/1/2021,Customer_41,Laptop,Furniture,4,,21973
104411,5/1/2021,Customer_449,Monitor,Office Supplies,8,,49466
100793,6/1/2021,Customer_87,Pen,Furniture,9,,38598
104213,6/1/2021,Customer_902,Monitor,Furniture,5,,8991
104467,6/1/2021,Customer_254,Chair,Office Supplies,2,,26075
104546,6/1/2021,Customer_181,Mobile,Office Supplies,7,,34228
101051,7/1/2021,Customer_878,Table,Electronics,5,,42531
101355,7/1/2021,Customer_326,Chair,Office Supplies,7,,18528
101534,7/1/2021,Customer_1138,Laptop,Office Supplies,3,,19268
102800,7/1/2021,Customer_467,Laptop,Furniture,5,,30768
104932,7/1/2021,Customer_489,Table,Furniture,7,,1550
100727,8/1/2021,Customer_247,Monitor,Office Supplies,2,,25731
102464,8/1/2021,Customer_85,Laptop,Office Supplies,4,,6574
103262,8/1/2021,Customer_72,Table,Furniture,8,,37165
104447,8/1/2021,Customer_847,Pen,Electronics,4,,10034
104869,8/1/2021,Customer_540,Chair,Furniture,5,,1710
